datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2015-03-26,21501,30,346,https://zoek.officielebekendmakingen.nl/kst-21501-30-346,"vaste commissie voor Economische Zaken"
2015-03-26,29521,,289,https://zoek.officielebekendmakingen.nl/kst-29521-289,"vaste commissie voor Buitenlandse Zaken"
2015-03-26,29398,,458,https://zoek.officielebekendmakingen.nl/kst-29398-458,"vaste commissie voor Infrastructuur en Milieu"
2015-03-30,29517,,95,https://zoek.officielebekendmakingen.nl/kst-29517-95,"vaste commissie voor Veiligheid en Justitie"
2015-03-30,32793,,171,https://zoek.officielebekendmakingen.nl/kst-32793-171,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-03-30,21501,33,536,https://zoek.officielebekendmakingen.nl/kst-21501-33-536,"vaste commissie voor Economische Zaken"
2015-03-30,26485,,201,https://zoek.officielebekendmakingen.nl/kst-26485-201,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-03-30,17050,,502,https://zoek.officielebekendmakingen.nl/kst-17050-502,"vaste commissie voor Binnenlandse Zaken"
2015-03-30,33625,,151,https://zoek.officielebekendmakingen.nl/kst-33625-151,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-03-31,21501,07,1247,https://zoek.officielebekendmakingen.nl/kst-21501-07-1247,"vaste commissie voor Financiën"
2015-03-31,24202,,33,https://zoek.officielebekendmakingen.nl/kst-24202-33,"commissie voor de Rijksuitgaven"
2015-03-31,29544,,593,https://zoek.officielebekendmakingen.nl/kst-29544-593,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-03-31,33279,,14,https://zoek.officielebekendmakingen.nl/kst-33279-14,"vaste commissie voor Defensie"
2015-04-01,30545,,153,https://zoek.officielebekendmakingen.nl/kst-30545-153,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-04-01,29924,,121,https://zoek.officielebekendmakingen.nl/kst-29924-121,"vaste commissie voor Binnenlandse Zaken"
2015-04-01,26642,,132,https://zoek.officielebekendmakingen.nl/kst-26642-132,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-04-07,21501,02,1473,https://zoek.officielebekendmakingen.nl/kst-21501-02-1473,"vaste commissie voor Buitenlandse Zaken"
2015-04-07,21501,08,558,https://zoek.officielebekendmakingen.nl/kst-21501-08-558,"vaste commissie voor Infrastructuur en Milieu"
2015-04-07,28286,,800,https://zoek.officielebekendmakingen.nl/kst-28286-800,"vaste commissie voor Economische Zaken"
2015-04-07,26488,,384,https://zoek.officielebekendmakingen.nl/kst-26488-384,"vaste commissie voor Defensie"
2015-04-09,19637,,1986,https://zoek.officielebekendmakingen.nl/kst-19637-1986,"vaste commissie voor Veiligheid en Justitie"
2015-04-09,29407,,200,https://zoek.officielebekendmakingen.nl/kst-29407-200,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-04-09,33900,,12,https://zoek.officielebekendmakingen.nl/kst-33900-12,"vaste commissie voor Binnenlandse Zaken"
