datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url
2013-04-04,21501,31,309,https://zoek.officielebekendmakingen.nl/kst-21501-31-309,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-04-11,31271,,9,https://zoek.officielebekendmakingen.nl/kst-31271-9,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-04-11,26485,,161,https://zoek.officielebekendmakingen.nl/kst-26485-161,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-04-11,33536,,2,https://zoek.officielebekendmakingen.nl/kst-33536-2,vaste commissie voor Veiligheid en Justitie
2013-04-11,33322,,11,https://zoek.officielebekendmakingen.nl/kst-33322-11,vaste commissie voor Economische Zaken
2013-04-11,33546,,9,https://zoek.officielebekendmakingen.nl/kst-33546-9,vaste commissie voor Infrastructuur en Milieu
2013-04-11,31865,,50,https://zoek.officielebekendmakingen.nl/kst-31865-50,commissie voor de Rijksuitgaven
2013-04-15,21501,02,1242,https://zoek.officielebekendmakingen.nl/kst-21501-02-1242,vaste commissie voor Buitenlandse Zaken
2013-04-15,31322,,211,https://zoek.officielebekendmakingen.nl/kst-31322-211,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-04-15,29407,,165,https://zoek.officielebekendmakingen.nl/kst-29407-165,algemene commissie voor Wonen en Rijksdienst
2013-04-15,32317,,171,https://zoek.officielebekendmakingen.nl/kst-32317-171,vaste commissie voor Veiligheid en Justitie
2013-04-17,21501,02,1243,https://zoek.officielebekendmakingen.nl/kst-21501-02-1243,vaste commissie voor Europese Zaken
2013-04-17,26419,,56,https://zoek.officielebekendmakingen.nl/kst-26419-56,vaste commissie voor Economische Zaken
2013-04-17,28165,,159,https://zoek.officielebekendmakingen.nl/kst-28165-159,vaste commissie voor Financiën
2013-04-17,25928,,53,https://zoek.officielebekendmakingen.nl/kst-25928-53,vaste commissie voor Defensie
2013-04-18,29818,,37,https://zoek.officielebekendmakingen.nl/kst-29818-37,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-04-18,32201,,60,https://zoek.officielebekendmakingen.nl/kst-32201-60,vaste commissie voor Economische Zaken
2013-04-18,21501,08,457,https://zoek.officielebekendmakingen.nl/kst-21501-08-457,vaste commissie voor Infrastructuur en Milieu
2013-04-18,29893,,145,https://zoek.officielebekendmakingen.nl/kst-29893-145,vaste commissie voor Infrastructuur en Milieu
2013-04-23,21501,28,98,https://zoek.officielebekendmakingen.nl/kst-21501-28-98,vaste commissie voor Defensie
2013-04-23,31753,,63,https://zoek.officielebekendmakingen.nl/kst-31753-63,vaste commissie voor Veiligheid en Justitie
2013-04-23,29453,,308,https://zoek.officielebekendmakingen.nl/kst-29453-308,algemene commissie voor Wonen en Rijksdienst
2013-04-23,29628,,384,https://zoek.officielebekendmakingen.nl/kst-29628-384,vaste commissie voor Veiligheid en Justitie
2013-04-24,29544,,444,https://zoek.officielebekendmakingen.nl/kst-29544-444,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-04-24,24587,,503,https://zoek.officielebekendmakingen.nl/kst-24587-503,TK
2013-04-24,29325,,63,https://zoek.officielebekendmakingen.nl/kst-29325-63,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-04-24,31532,,110,https://zoek.officielebekendmakingen.nl/kst-31532-110,vaste commissie voor Economische Zaken
2013-04-24,33495,,9,https://zoek.officielebekendmakingen.nl/kst-33495-9,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-04-24,29628,,387,https://zoek.officielebekendmakingen.nl/kst-29628-387,vaste commissie voor Veiligheid en Justitie
2013-04-25,30950,,57,https://zoek.officielebekendmakingen.nl/kst-30950-57,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-04-25,32733,,125,https://zoek.officielebekendmakingen.nl/kst-32733-125,vaste commissie voor Defensie
2013-04-25,33400,IV,27,https://zoek.officielebekendmakingen.nl/kst-33400-IV-27,vaste commissie voor Binnenlandse Zaken
2013-04-25,21501,32,702,https://zoek.officielebekendmakingen.nl/kst-21501-32-702,vaste commissie voor Economische Zaken
2013-05-06,31051,,12,https://zoek.officielebekendmakingen.nl/kst-31051-12,vaste commissie voor Veiligheid en Justitie
2013-05-06,19637,,1656,https://zoek.officielebekendmakingen.nl/kst-19637-1656,vaste commissie voor Veiligheid en Justitie
2013-05-06,32847,,63,https://zoek.officielebekendmakingen.nl/kst-32847-63,algemene commissie voor Wonen en Rijksdienst
2013-05-06,26991,,355,https://zoek.officielebekendmakingen.nl/kst-26991-355,vaste commissie voor Economische Zaken
2013-05-13,25847,,115,https://zoek.officielebekendmakingen.nl/kst-25847-115,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-05-13,27926,,199,https://zoek.officielebekendmakingen.nl/kst-27926-199,algemene commissie voor Wonen en Rijksdienst
2013-05-13,26488,,322,https://zoek.officielebekendmakingen.nl/kst-26488-322,vaste commissie voor Defensie
2013-05-13,31839,,287,https://zoek.officielebekendmakingen.nl/kst-31839-287,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-05-13,27925,,479,https://zoek.officielebekendmakingen.nl/kst-27925-479,vaste commissie voor Defensie
2013-05-14,29659,,115,https://zoek.officielebekendmakingen.nl/kst-29659-115,vaste commissie voor Economische Zaken
2013-05-14,33400,V,127,https://zoek.officielebekendmakingen.nl/kst-33400-V-127,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-05-14,33552,,4,https://zoek.officielebekendmakingen.nl/kst-33552-4,vaste commissie voor Veiligheid en Justitie
2013-05-14,32733,,127,https://zoek.officielebekendmakingen.nl/kst-32733-127,vaste commissie voor Defensie
2013-05-14,33435,,11,https://zoek.officielebekendmakingen.nl/kst-33435-11,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-05-14,33400,XVI,145,https://zoek.officielebekendmakingen.nl/kst-33400-XVI-145,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-05-14,33121,,37,https://zoek.officielebekendmakingen.nl/kst-33121-37,vaste commissie voor Financiën
2013-05-15,29452,,160,https://zoek.officielebekendmakingen.nl/kst-29452-160,vaste commissie voor Veiligheid en Justitie
2013-05-15,26643,,275,https://zoek.officielebekendmakingen.nl/kst-26643-275,vaste commissie voor Binnenlandse Zaken
2013-05-15,27923,,167,https://zoek.officielebekendmakingen.nl/kst-27923-167,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-05-15,32623,,93,https://zoek.officielebekendmakingen.nl/kst-32623-93,vaste commissie voor Buitenlandse Zaken
2013-05-16,21501,02,1252,https://zoek.officielebekendmakingen.nl/kst-21501-02-1252,vaste commissie voor Buitenlandse Zaken
2013-05-16,33400,XV,101,https://zoek.officielebekendmakingen.nl/kst-33400-XV-101,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-05-16,31066,,170,https://zoek.officielebekendmakingen.nl/kst-31066-170,vaste commissie voor Financiën
2013-05-21,33400,VI,102,https://zoek.officielebekendmakingen.nl/kst-33400-VI-102,vaste commissie voor Veiligheid en Justitie
2013-05-21,26643,,276,https://zoek.officielebekendmakingen.nl/kst-26643-276,vaste commissie voor Binnenlandse Zaken
2013-05-21,29544,,447,https://zoek.officielebekendmakingen.nl/kst-29544-447,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-05-21,29270,,83,https://zoek.officielebekendmakingen.nl/kst-29270-83,vaste commissie voor Veiligheid en Justitie
2013-05-23,31497,,98,https://zoek.officielebekendmakingen.nl/kst-31497-98,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-05-23,21501,07,1056,https://zoek.officielebekendmakingen.nl/kst-21501-07-1056,TK
2013-05-23,29984,,414,https://zoek.officielebekendmakingen.nl/kst-29984-414,vaste commissie voor Infrastructuur en Milieu
2013-05-23,33550,,2,https://zoek.officielebekendmakingen.nl/kst-33550-2,vaste commissie voor Buitenlandse Zaken
2013-05-23,24587,,505,https://zoek.officielebekendmakingen.nl/kst-24587-505,algemene commissie voor Wonen en Rijksdienst
2013-05-23,31288,,343,https://zoek.officielebekendmakingen.nl/kst-31288-343,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-05-23,33400,XV,103,https://zoek.officielebekendmakingen.nl/kst-33400-XV-103,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-05-27,28828,,43,https://zoek.officielebekendmakingen.nl/kst-28828-43,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-05-27,31460,,33,https://zoek.officielebekendmakingen.nl/kst-31460-33,vaste commissie voor Defensie
2013-05-27,30175,,163,https://zoek.officielebekendmakingen.nl/kst-30175-163,vaste commissie voor Infrastructuur en Milieu
2013-05-27,26956,,158,https://zoek.officielebekendmakingen.nl/kst-26956-158,vaste commissie voor Veiligheid en Justitie
2013-05-28,30982,,12,https://zoek.officielebekendmakingen.nl/kst-30982-12,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-05-28,26234,,135,https://zoek.officielebekendmakingen.nl/kst-26234-135,vaste commissie voor Financiën
2013-05-28,26643,,279,https://zoek.officielebekendmakingen.nl/kst-26643-279,vaste commissie voor Binnenlandse Zaken
2013-05-28,26448,,494,https://zoek.officielebekendmakingen.nl/kst-26448-494,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-05-30,32706,,47,https://zoek.officielebekendmakingen.nl/kst-32706-47,vaste commissie voor Defensie
2013-05-30,29689,,445,https://zoek.officielebekendmakingen.nl/kst-29689-445,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-05-30,29689,,444,https://zoek.officielebekendmakingen.nl/kst-29689-444,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-05-30,27923,,169,https://zoek.officielebekendmakingen.nl/kst-27923-169,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-05-30,32847,,71,https://zoek.officielebekendmakingen.nl/kst-32847-71,algemene commissie voor Wonen en Rijksdienst
2013-06-03,31263,,56,https://zoek.officielebekendmakingen.nl/kst-31263-56,vaste commissie voor Buitenlandse Zaken
2013-06-03,33400,IV,28,https://zoek.officielebekendmakingen.nl/kst-33400-IV-28,vaste commissie voor Koninkrijksrelaties
2013-06-03,29683,,164,https://zoek.officielebekendmakingen.nl/kst-29683-164,vaste commissie voor Economische Zaken
2013-06-03,26234,,137,https://zoek.officielebekendmakingen.nl/kst-26234-137,vaste commissie voor Financiën
2013-06-04,31839,,291,https://zoek.officielebekendmakingen.nl/kst-31839-291,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-06-04,31213,,12,https://zoek.officielebekendmakingen.nl/kst-31213-12,vaste commissie voor Financiën
2013-06-04,21501,32,713,https://zoek.officielebekendmakingen.nl/kst-21501-32-713,vaste commissie voor Economische Zaken
2013-06-04,29628,,396,https://zoek.officielebekendmakingen.nl/kst-29628-396,vaste commissie voor Veiligheid en Justitie
2013-06-04,21501,02,1255,https://zoek.officielebekendmakingen.nl/kst-21501-02-1255,vaste commissie voor Europese Zaken
2013-06-05,21501,02,1257,https://zoek.officielebekendmakingen.nl/kst-21501-02-1257,vaste commissie voor Buitenlandse Zaken
2013-06-05,28676,,182,https://zoek.officielebekendmakingen.nl/kst-28676-182,vaste commissie voor Buitenlandse Zaken
2013-06-05,32563,,38,https://zoek.officielebekendmakingen.nl/kst-32563-38,vaste commissie voor Economische Zaken
2013-06-05,33037,,64,https://zoek.officielebekendmakingen.nl/kst-33037-64,vaste commissie voor Economische Zaken
2013-06-05,32706,,48,https://zoek.officielebekendmakingen.nl/kst-32706-48,vaste commissie voor Buitenlandse Zaken
2013-06-06,22112,,1629,https://zoek.officielebekendmakingen.nl/kst-22112-1629,vaste commissie voor Veiligheid en Justitie
2013-06-06,29338,,120,https://zoek.officielebekendmakingen.nl/kst-29338-120,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-06-11,29407,,170,https://zoek.officielebekendmakingen.nl/kst-29407-170,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-06-11,33450,,3,https://zoek.officielebekendmakingen.nl/kst-33450-3,vaste commissie voor Infrastructuur en Milieu
2013-06-12,27926,,201,https://zoek.officielebekendmakingen.nl/kst-27926-201,algemene commissie voor Wonen en Rijksdienst
2013-06-12,33400,X,82,https://zoek.officielebekendmakingen.nl/kst-33400-X-82,vaste commissie voor Defensie
2013-06-12,26991,,360,https://zoek.officielebekendmakingen.nl/kst-26991-360,vaste commissie voor Economische Zaken
2013-06-12,33571,,5,https://zoek.officielebekendmakingen.nl/kst-33571-5,vaste commissie voor Veiligheid en Justitie
2013-06-13,32827,,48,https://zoek.officielebekendmakingen.nl/kst-32827-48,vaste commissie voor Onderwijs, Cultuur en Wetenschap
